Age (bin),City,Education,Gender,GenderLabel,HouseOwnerFlag,HouseOwnerFlagLabel,MaritalStatus,MaritalStatusLabel,Occupation,PostalCode,Prospect,ProspectiveBuyerKey,StateProvinceCode,Age,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
40,Smithfield,Graduate D,F,FEMALE,0,NO,M,MARRIED,Professional,27577,Robin Serrano,1752,NC,46,0,0,2,"60,000"
40,Oregon City,Graduate D,F,FEMALE,0,NO,M,MARRIED,Professional,97045,Tabitha Lopez,1943,OR,53,0,0,2,"60,000"
40,Colma,Graduate D,F,FEMALE,0,NO,M,MARRIED,Professional,94014,Kristen Liang,1176,CA,54,0,0,4,"70,000"
40,Lynnwood,Graduate D,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,98036,Rebecca Hall,1692,WA,38,0,0,0,"50,000"
35,Long Beach,Graduate D,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,90802,Arianna Rogers,134,CA,52,0,0,0,"50,000"
35,Concord,Graduate D,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,94519,Sheena Yuan,1897,CA,52,0,0,0,"50,000"
35,Lakewood,Graduate D,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,90712,Maria Allen,1344,CA,45,0,1,1,"50,000"
35,Vista,Graduate D,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,92084,Pamela Arun,1608,CA,55,0,1,1,"50,000"
35,Woodburn,Graduate D,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,97071,Donna Shen,613,OR,43,0,1,1,"50,000"
35,Everett,Graduate D,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,98201,Martha Zhang,1519,WA,34,0,1,1,"50,000"
40,Mill Valley,High Schoo,F,FEMALE,0,NO,M,MARRIED,Manual,94941,Jocelyn Butler,923,CA,41,0,3,3,"10,000"
50,Burlingame,High Schoo,F,FEMALE,0,NO,M,MARRIED,Manual,94010,Shawna Nath,1854,CA,45,1,1,1,"10,000"
50,Mill Valley,High Schoo,F,FEMALE,0,NO,M,MARRIED,Manual,94941,Kathryn Pal,1196,CA,44,1,1,1,"10,000"
40,Coronado,High Schoo,F,FEMALE,0,NO,M,MARRIED,Manual,92118,Latoya Kumar,1285,CA,55,1,1,1,"20,000"
40,Corvallis,High Schoo,F,FEMALE,0,NO,M,MARRIED,Manual,97330,Aimee Liang,77,OR,44,1,2,2,"20,000"
45,Issaquah,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,98027,Alexis Martin,89,WA,34,1,0,0,"40,000"
45,Issaquah,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,98027,Samantha Washington,1893,WA,46,1,0,0,"40,000"
40,Woonsocket,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,2895,Riley Cook,1664,RI,51,1,0,0,"40,000"
35,Concord,High Schoo,F,FEMALE,0,NO,M,MARRIED,Management,94519,Natalie Hall,1541,CA,50,3,0,0,"90,000"
35,San Mateo,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,94404,Sheena Sharma,1885,CA,41,0,2,2,"40,000"
35,Woodburn,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,97071,Jodi Yuan,1114,OR,48,0,2,2,"40,000"
30,Beaverton,Partial Co,F,FEMALE,0,NO,M,MARRIED,Manual,97005,Kara Chander,1139,OR,49,0,0,0,"20,000"
50,Concord,Partial Co,F,FEMALE,0,NO,M,MARRIED,Manual,94519,Ebony Navarro,697,CA,41,0,0,2,"10,000"
50,Everett,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,98201,Emma Smith,710,WA,34,1,0,2,"40,000"
65,Downey,Partial Co,F,FEMALE,0,NO,M,MARRIED,Manual,90241,Kristen Zhu,1256,CA,46,1,0,2,"10,000"
45,Milwaukie,Partial Co,F,FEMALE,0,NO,M,MARRIED,Professional,97222,Meredith Chandra,1372,OR,31,1,0,0,"90,000"
45,Sugar Land,Partial Co,F,FEMALE,0,NO,M,MARRIED,Professional,77478,Kaitlin Garcia,1156,TX,59,1,0,0,"90,000"
45,Issaquah,Partial Co,F,FEMALE,0,NO,M,MARRIED,Professional,98027,Leah Liu,1290,WA,39,1,0,0,"90,000"
50,Seattle,Partial Co,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,98104,Shannon Xu,1895,WA,44,1,0,1,"50,000"
45,Cheyenne,Partial Co,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,82001,Kate Chander,1142,WY,52,1,0,1,"60,000"
35,Saginaw,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,48601,Riley Foster,1674,MI,48,1,0,0,"80,000"
35,Marysville,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,98270,Sierra Scott,1884,WA,42,1,0,0,"80,000"
60,Marysville,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,98270,Alyssa Torres,167,WA,35,1,1,2,"50,000"
60,Burbank,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,91502,Candace Engineer,347,CA,54,1,1,4,"70,000"
60,Chula Vista,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,91910,Riley Ross,1746,CA,54,1,1,4,"70,000"
35,Lynnwood,Bachelors,F,FEMALE,0,NO,S,SINGLE,Skilled Manual,98036,Caitlin Torres,479,WA,39,1,1,1,"50,000"
65,Olympia,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,98501,Katrina Lal,1175,WA,33,2,0,2,"40,000"
65,Carnation,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,98014,Jaclyn Nath,1025,WA,39,2,0,3,"50,000"
65,Orlando,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,32804,Grace Robinson,804,FL,40,2,0,4,"50,000"
65,Bellingham,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,98225,Jaime Ortega,1032,WA,47,2,0,4,"50,000"
60,Burbank,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,91502,Sheila Jimenez,1827,CA,36,2,0,4,"60,000"
60,Burbank,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,91502,Brandy Verma,292,CA,55,2,0,5,"50,000"
65,Burbank,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,91502,Kimberly Morris,1187,CA,40,2,0,5,"70,000"
65,Concord,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,94519,Jordyn Hayes,969,CA,54,2,0,5,"70,000"
70,Concord,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,94519,Michele Rana,1460,CA,56,2,0,5,"90,000"
45,Oregon City,Bachelors,F,FEMALE,0,NO,S,SINGLE,Professional,97045,Heather Guo,833,OR,33,2,2,4,"50,000"
45,Plano,Bachelors,F,FEMALE,0,NO,S,SINGLE,Professional,75074,Kelli Guo,1160,TX,35,2,2,4,"50,000"
45,San Antonio,Bachelors,F,FEMALE,0,NO,S,SINGLE,Professional,78204,Nancy Malhotra,1552,TX,48,2,3,3,"60,000"
45,Bellingham,Bachelors,F,FEMALE,0,NO,S,SINGLE,Skilled Manual,98225,Arianna Patterson,109,WA,54,2,5,5,"50,000"
60,Citrus Heights,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,95610,Rachel Cooper,1665,CA,44,3,0,5,"60,000"
55,Colma,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,94014,Christy Anand,312,CA,34,3,5,3,"120,000"
40,Colma,Bachelors,F,FEMALE,0,NO,S,SINGLE,Professional,94014,Leah Zhao,1338,CA,48,3,5,5,"70,000"
40,Beverly Hills,Bachelors,F,FEMALE,0,NO,S,SINGLE,Skilled Manual,90210,Christine Lal,384,CA,30,3,3,3,"50,000"
40,Issaquah,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,98027,Adrienne Munoz,100,WA,55,4,1,0,"120,000"
40,Puyallup,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,98371,Michele Munoz,1437,WA,38,4,1,0,"120,000"
40,Puyallup,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,98371,Tonya Yuan,1993,WA,56,4,1,0,"120,000"
70,Glendale,Bachelors,F,FEMALE,0,NO,S,SINGLE,Management,91203,Colleen Ye,500,CA,38,4,3,2,"130,000"
40,Colma,Bachelors,F,FEMALE,0,NO,S,SINGLE,Professional,94014,Leslie Torres,1325,CA,59,4,5,5,"70,000"
40,Chula Vista,Bachelors,F,FEMALE,0,NO,S,SINGLE,Professional,91910,Katie Raji,1208,CA,33,4,5,5,"80,000"
90,Chula Vista,Graduate D,F,FEMALE,0,NO,S,SINGLE,Clerical,91910,Cindy Chandra,332,CA,32,2,0,3,"10,000"
75,Colma,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,94014,Mya Hughes,1408,CA,60,2,0,2,"50,000"
70,San Carlos,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,94070,Emily Lewis,682,CA,33,2,0,2,"60,000"
70,W. Linn,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,97068,Samantha Robinson,1875,OR,43,2,0,3,"50,000"
70,Olympia,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,98501,Isabel Washington,905,WA,40,2,0,3,"50,000"
65,San Diego,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,92102,Suzanne Zhao,1903,CA,59,2,0,3,"60,000"
70,San Carlos,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,94070,Isabella Cooper,872,CA,53,2,0,3,"60,000"
70,Cincinnati,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,45202,Holly Patel,846,OH,37,2,0,3,"60,000"
70,Milwaukie,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,97222,Meredith Sanz,1481,OR,43,2,0,3,"60,000"
65,Colma,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,94014,Bailey Edwards,221,CA,39,2,0,4,"60,000"
40,Grossmont,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,91941,Joy Vazquez,1100,CA,48,2,5,5,"80,000"
40,Colma,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,94014,Sydney Taylor,1889,CA,30,3,1,1,"110,000"
65,Concord,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,94519,Stacy Jimenez,1828,CA,57,3,3,2,"100,000"
65,Phoenix,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,85004,Anna Wilson,177,AZ,52,3,4,2,"120,000"
40,Monroe,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,98272,Sandra Cai,1793,WA,55,3,5,5,"80,000"
50,Bradenton,Graduate D,F,FEMALE,0,NO,S,SINGLE,Professional,34205,Christy Zhao,505,FL,31,3,5,5,"70,000"
70,Colma,Graduate D,F,FEMALE,0,NO,S,SINGLE,Management,94014,Adriana Fernandez,38,CA,39,4,3,2,"110,000"
30,Monrovia,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,91016,Rachael Malhotra,1714,CA,53,1,0,0,"20,000"
30,Bremerton,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,98312,Jacquelyn Alvarez,911,WA,45,1,0,0,"20,000"
30,Burlingame,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,94010,Dawn Liang,570,CA,42,1,0,0,"30,000"
30,Concord,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,94519,Mandy Zhang,1518,CA,46,1,0,0,"30,000"
35,Hanford,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,93230,Lindsey Nara,1300,CA,54,1,0,0,"30,000"
35,Ontario,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,91764,Kathryn Rai,1205,CA,60,1,0,0,"30,000"
35,Sandpoint,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,83864,Patricia Arun,1607,ID,54,1,0,0,"30,000"
35,Spokane,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,99202,Jillian Sanchez,1067,WA,35,1,0,0,"30,000"
35,Lynnwood,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,98036,Summer Malhotra,1842,WA,46,1,0,0,"30,000"
35,Spokane,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,99202,Alexandra Phillips,117,WA,52,1,0,0,"30,000"
35,Spokane,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,99202,Mallory Alonso,1349,WA,34,1,0,0,"30,000"
55,La Jolla,High Schoo,F,FEMALE,0,NO,S,SINGLE,Professional,92806,Barbara Guo,228,CA,32,1,2,4,"90,000"
50,Palo Alto,High Schoo,F,FEMALE,0,NO,S,SINGLE,Clerical,94303,Sara Hall,1818,CA,52,2,0,1,"30,000"
30,El Cajon,High Schoo,F,FEMALE,0,NO,S,SINGLE,Management,92020,Kari Jimenez,1169,CA,58,2,0,0,"90,000"
30,Santa Cruz,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,95062,Holly Rodriguez,854,CA,47,2,0,0,"10,000"
55,Palo Alto,High Schoo,F,FEMALE,0,NO,S,SINGLE,Manual,94303,Courtney Scott,454,CA,43,2,0,2,"20,000"
